year,FIO-ESM-2-0,GFDL-ESM4,GFDL-CM4,IITM-ESM,INM-CM4-8,MRI-ESM2-0,TaiESM1,CMCC-CM2-SR5,MIROC6,NorESM2-MM,INM-CM5-0,EC-Earth3-CC,EC-Earth3-Veg,ACCESS-CM2,BCC-CSM2-MR,FGOALS-f3-L,CanESM5,FGOALS-g3,CAMS-CSM1-0,NorESM2-LM,CAS-ESM2-0,EC-Earth3-Veg-LR,KIOST-ESM,CESM2-WACCM,MPI-ESM1-2-HR,KACE-1-0-G,IPSL-CM6A-LR,CMCC-ESM2,CIESM,AWI-CM-1-1-MR,EC-Earth3,MPI-ESM1-2-LR,NESM3,E3SM-1-1
1950,286.9999249719506,286.74092970140947,286.02848396219485,287.43192248853137,286.8621826525662,287.2666249723851,286.9815159006405,287.3980422199229,288.5964385140075,287.2890213241628,286.7225598124276,287.7685698071388,287.34562182310987,286.92708729722096,288.1231155513496,286.2445620449737,287.15746605481,287.6606547266801,287.0531731661379,287.79278678076935,287.0877238670662,287.0513026257847,286.19645638357423,287.24913655099846,287.35623474185604,287.2390466189093,286.2295,287.2575993131284,287.9248375838615,287.0767441124132,286.8630260783201,286.9512532685601,287.3039471382597,286.8209093795872
1951,286.9197547612852,286.6447925440885,286.22405927226544,287.5904304478325,286.8050743219298,287.1908716205115,287.1400354633109,287.57012869531155,288.55604387899683,287.37488481229883,286.66032594627865,287.7917186584342,287.1459254182164,287.03462634719034,288.2962070645772,286.0543894729928,287.0627499303642,287.52229403329494,287.2995716050755,287.7497205517513,287.25998183232576,287.16234897623343,286.1549300149073,287.3771996937863,287.4287299696336,287.07963046977795,286.38605,287.23102567514536,287.8798253325461,287.1179760300082,286.87406836236283,287.1386230840803,287.38821250709697,286.89730777694314
1952,286.8243832047678,286.66650780651463,286.17108558463445,287.448648082386,286.81410132118265,287.0591815284344,287.2219528624665,287.6274750878524,288.5301358278309,287.19736247333697,286.5710394720212,287.8643693057418,287.31990459818047,287.0884736866355,288.1176709157602,286.2551302022428,287.0460337192454,287.4268412768289,287.1766206428503,287.72060272673644,287.3758828825856,287.1068959755816,285.9852243120483,287.4750128558082,287.3414248862155,287.11842285412087,286.5325,287.3617818231366,287.8489880179811,287.09945175096937,286.87626398839035,287.1960956430023,287.3115760011624,286.9487328741939
1953,286.74767594870946,286.7831921909506,286.0992261642128,287.67711680115207,286.78653377941373,286.96157951308743,287.1107527995676,287.5801784393024,288.4362309812571,287.17104307977854,286.47538212494493,287.9215850337859,287.2349865353813,287.0790602353281,288.1518254558761,286.3185677942002,286.85738526866777,287.4375670616949,287.3508289289852,287.6832161659155,287.38611113179064,287.1717698663511,286.1618402896258,287.30402472736426,287.3237375700692,287.1563655523793,286.41342,287.4017102334587,287.890359630014,287.22395578856305,287.21652993123524,287.0316435160899,287.44997768497865,286.8676001833838
1954,286.7362547779596,286.7803628183614,285.92711858512934,287.78071529586884,286.8419287304244,287.0778470030808,287.0637848426521,287.3269785222963,288.47871465051725,287.25829112146806,286.6260190618692,287.792399160042,287.20090846988506,287.0078936999561,288.1907524729256,285.92963338250684,286.85751495702385,287.5721263540527,287.4783343028883,287.8678858877261,287.3932863776175,287.1557085368335,286.2171988477138,287.23846580900795,287.2210680505476,287.3196475399535,286.29614,287.3340467128335,287.9631182071499,287.361056443913,287.1978999410623,286.96267300445896,287.3128046208975,286.9388314399003
1955,286.74460215980935,286.71607153656595,286.05441287112245,287.7651913296351,286.88481389824,287.2309672643728,287.17513145270993,287.5467321418191,288.64814620339405,287.0834241651391,286.76258396514123,287.92848093683443,287.2173393872622,287.04784710905204,288.1737450869894,286.062613428654,286.9098074126601,287.4585658683999,287.1560130893428,288.11529416161903,287.4469653171651,287.2282728723956,286.24119819966654,287.33016009957987,287.2365959115135,287.2097535368022,286.42407,287.39239701411896,288.0092459985097,287.2033911022755,286.9106994846475,286.85493377137664,287.1200575111025,286.97317765782424
1956,286.8124337854516,286.65663070760826,285.9931795883357,287.5801800760205,286.85272093531523,287.04597889714915,287.07836293217787,287.71859170594945,288.76383823316644,286.97623246174857,286.7709229983429,287.85814567348154,287.084816838468,286.94360291162394,288.16338325984657,286.35170679105823,286.8893332178416,287.63672102707795,287.2880236930945,287.8359641249488,287.3021303120886,287.056725503558,286.0827767936834,287.28880754115545,287.322554318663,287.230764442004,286.4659,287.30794610117954,287.9681758559959,287.1655523289083,286.9735501017392,286.82541411068263,287.13449616879683,286.9885943183
1957,286.8891022855747,286.7014621343955,286.06452778635884,287.74871716614496,286.8573776654918,287.1292022367994,286.966705686764,287.555568400226,288.77162011232,286.90313118034163,286.7334816380874,287.8602631438409,287.2015733717543,287.05835488492454,288.1774054342372,286.0385831399707,286.897391212651,287.5757672231134,287.3384446729853,287.9232800714005,287.3803745291889,287.0358095800961,286.18262514279155,287.1408750094044,287.2450929309342,287.2248982414493,286.5698,287.4368530716499,287.9799988598661,287.1524032236045,287.23203022305967,286.8564236947363,287.15546969870337,286.93685437507025
1958,286.9131344935498,286.8279147015406,285.9027971445637,287.8156994866345,286.81632591988136,287.21613241546214,286.970733331288,287.36029958966566,288.6449327879233,286.9864377806611,286.7601349744704,287.82420499997903,287.3149334259392,287.0273448655733,288.1960349453121,286.0749011819978,286.9386558171899,287.54896134737794,287.3708516671956,287.89424859196095,287.23870532951804,287.1991314336223,286.2114450904872,287.01229494507135,287.27663556246966,287.12995535961284,286.59518,287.4482503206104,287.92869345304354,287.0845570261051,287.15366004813905,286.8424628606995,287.1992951709357,286.9347710521773
1959,286.90119167402673,286.88638623865046,286.00176624159025,287.62214888552234,286.92800438835343,287.14811655299826,287.05946027502625,287.42089661817266,288.51195308268206,287.19790075740923,286.74919787616926,287.79216414491634,287.22362479434406,287.11716491552494,288.2647485106527,286.2926855607918,287.0669365709753,287.69369212069546,287.06827665732334,287.95464777478065,287.44915601289705,287.0041181352756,286.1529822301043,286.8388404877694,287.407317212253,287.2063242318256,286.35355,287.2969704710827,287.9325607027436,287.174540364611,287.2401281338119,286.9311033644013,287.29346646129113,286.80767341386746
