model,recent_trend_Kdec,change2050_K,cv_pred_K
FIO-ESM-2-0,0.23575182018697272,1.1810670471590072,1.129339848423591
GFDL-ESM4,0.19880632183107272,0.8126233098228284,1.0435699379591368
GFDL-CM4,0.2553717519926573,1.1993566068475956,1.181621611494943
IITM-ESM,0.16619781947508927,0.8236542910242463,0.9595778403343074
INM-CM4-8,0.19215892118629208,0.9487982319680895,1.0200729432596916
MRI-ESM2-0,0.21077694766179544,1.1901750054496063,1.0612190354064883
TaiESM1,0.2743745300120619,1.6197596588779788,1.2066543373751522
CMCC-CM2-SR5,0.25124377087738475,1.2526058757862928,1.168282483943008
MIROC6,0.16555830665914978,0.9324618797520486,0.9483861977803851
NorESM2-MM,0.16193014841208936,0.9089861835150941,0.9403160268447263
INM-CM5-0,0.17619962763029695,0.8483321856827217,0.983703676416309
EC-Earth3-CC,0.2882974535956434,0.9218965990619836,1.2997892694325646
EC-Earth3-Veg,0.23027726972118057,0.9804451835421844,1.120916319613858
ACCESS-CM2,0.19746150214637684,1.5928392992444116,1.0062544925417014
BCC-CSM2-MR,0.18308596031478222,1.1058108236648878,0.9863612735307562
FGOALS-f3-L,0.22462580330169682,0.992138123026308,1.1052585894946931
CanESM5,0.2985659016631984,1.6051725121061793,1.2606206906194783
FGOALS-g3,0.25259904835040836,0.8437406427158691,1.18879416755804
CAMS-CSM1-0,0.12654025875503921,0.6748385532118562,0.8786632884608607
NorESM2-LM,0.2443069326247242,0.7788071066294776,1.1668437947476713
CAS-ESM2-0,0.2278328952098962,1.2288990860228524,1.1065145352640766
EC-Earth3-Veg-LR,0.2143228828804794,0.9527392420056742,1.0789090218069015
KIOST-ESM,0.23971436721379252,0.9420722423705058,1.1480946837045123
CESM2-WACCM,0.2629993250245225,1.3048477732257424,1.1971072930022806
MPI-ESM1-2-HR,0.169813423859713,0.8669049565139744,0.9655192865928428
KACE-1-0-G,0.2636754280357244,1.6867965112623438,1.1790997773661307
IPSL-CM6A-LR,0.23094553470919388,1.3386387419355288,1.1114290934042754
CMCC-ESM2,0.20421629604207947,1.277108930804053,1.0395899716937789
CIESM,0.20152764089633696,1.287459912584012,1.0314242670765505
AWI-CM-1-1-MR,0.26694836445562525,1.090215069154226,1.2195047720036283
EC-Earth3,0.35910501810459583,1.1818351241370295,1.5547603944392436
MPI-ESM1-2-LR,0.20596666798330626,0.9191836143514933,1.0579365972617214
NESM3,0.28746839997667845,1.2167821794593123,1.2708205662401055
