mip,institution,model,ensemble,realm,variable,grid,zstore,version
ScenarioMIP,CAS,FGOALS-f3-L,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp245/r1i1p1f1/Omon/tos/gn/v20191008/,20191008
ScenarioMIP,CAS,FGOALS-f3-L,r2i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp245/r2i1p1f1/Omon/tos/gn/v20200221/,20200221
ScenarioMIP,CAS,FGOALS-f3-L,r3i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-f3-L/ssp245/r3i1p1f1/Omon/tos/gn/v20200220/,20200220
ScenarioMIP,CAS,FGOALS-g3,r1i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r1i1p1f1/Amon/clt/gn/v20190818/,20190818
ScenarioMIP,CAS,FGOALS-g3,r1i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r1i1p1f1/Amon/prc/gn/v20190818/,20190818
ScenarioMIP,CAS,FGOALS-g3,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r1i1p1f1/Amon/tas/gn/v20190818/,20190818
ScenarioMIP,CAS,FGOALS-g3,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r1i1p1f1/Ofx/areacello/gn/v20201021/,20201021
ScenarioMIP,CAS,FGOALS-g3,r1i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r1i1p1f1/Omon/tos/gn/v20191231/,20191231
ScenarioMIP,CAS,FGOALS-g3,r2i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/clt/gn/v20191211/,20191211
ScenarioMIP,CAS,FGOALS-g3,r2i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/prc/gn/v20191211/,20191211
ScenarioMIP,CAS,FGOALS-g3,r2i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Amon/tas/gn/v20191211/,20191211
ScenarioMIP,CAS,FGOALS-g3,r2i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Ofx/areacello/gn/v20201021/,20201021
ScenarioMIP,CAS,FGOALS-g3,r2i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r2i1p1f1/Omon/tos/gn/v20191229/,20191229
ScenarioMIP,CAS,FGOALS-g3,r3i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r3i1p1f1/Amon/clt/gn/v20191211/,20191211
ScenarioMIP,CAS,FGOALS-g3,r3i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r3i1p1f1/Amon/prc/gn/v20191211/,20191211
ScenarioMIP,CAS,FGOALS-g3,r3i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r3i1p1f1/Amon/tas/gn/v20191211/,20191211
ScenarioMIP,CAS,FGOALS-g3,r3i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r3i1p1f1/Ofx/areacello/gn/v20201021/,20201021
ScenarioMIP,CAS,FGOALS-g3,r3i1p1f1,Omon,tos,gn,gs://cmip6/CMIP6/ScenarioMIP/CAS/FGOALS-g3/ssp245/r3i1p1f1/Omon/tos/gn/v20191231/,20191231
ScenarioMIP,CCCma,CanESM5,r1i1p1f1,AERmon,od550aer,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/AERmon/od550aer/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r1i1p1f1,Amon,clt,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Amon/clt/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r1i1p1f1,Amon,prc,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Amon/prc/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r1i1p1f1,Amon,tas,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Amon/tas/gn/v20190429/,20190429
ScenarioMIP,CCCma,CanESM5,r1i1p1f1,Ofx,areacello,gn,gs://cmip6/CMIP6/ScenarioMIP/CCCma/CanESM5/ssp245/r1i1p1f1/Ofx/areacello/gn/v20190429/,20190429
